ID;GRADUACAO;VINCULO;VALOR
1;GEN;Cônjuge;8.5
2;GEN;Filho até 6 anos;0.0
3;GEN;Filho de 7 a 10 anos;8.5
4;GEN;Filho de 11 a 23 anos;8.5
5;GEN;Filho acima de 23 anos;42.5
6;GEN;Sem vínculo familiar;42.5
7;CEL;Cônjuge;7.0
8;CEL;Filho até 6 anos;0.0
9;CEL;Filho de 7 a 10 anos;7.0
10;CEL;Filho de 11 a 23 anos;7.0
11;CEL;Filho acima de 23 anos;35.0
12;CEL;Sem vínculo familiar;35.0
13;TC;Cônjuge;7.0
14;TC;Filho até 6 anos;0.0
15;TC;Filho de 7 a 10 anos;7.0
16;TC;Filho de 11 a 23 anos;7.0
17;TC;Filho acima de 23 anos;35.0
18;TC;Sem vínculo familiar;35.0
19;MAJ;Cônjuge;7.0
20;MAJ;Filho até 6 anos;0.0
21;MAJ;Filho de 7 a 10 anos;7.0
22;MAJ;Filho de 11 a 23 anos;7.0
23;MAJ;Filho acima de 23 anos;35.0
24;MAJ;Sem vínculo familiar;35.0
25;CAP;Cônjuge;6.0
26;CAP;Filho até 6 anos;0.0
27;CAP;Filho de 7 a 10 anos;6.0
28;CAP;Filho de 11 a 23 anos;6.0
29;CAP;Filho acima de 23 anos;30.0
30;CAP;Sem vínculo familiar;30.0
31;1º TEN;Cônjuge;6.0
32;1º TEN;Filho até 6 anos;0.0
33;1º TEN;Filho de 7 a 10 anos;6.0
34;1º TEN;Filho de 11 a 23 anos;6.0
35;1º TEN;Filho acima de 23 anos;30.0
36;1º TEN;Sem vínculo familiar;30.0
37;2º TEN;Cônjuge;6.0
38;2º TEN;Filho até 6 anos;0.0
39;2º TEN;Filho de 7 a 10 anos;6.0
40;2º TEN;Filho de 11 a 23 anos;6.0
41;2º TEN;Filho acima de 23 anos;30.0
42;2º TEN;Sem vínculo familiar;30.0
43;ASP;Cônjuge;6.0
44;ASP;Filho até 6 anos;0.0
45;ASP;Filho de 7 a 10 anos;6.0
46;ASP;Filho de 11 a 23 anos;6.0
47;ASP;Filho acima de 23 anos;30.0
48;ASP;Sem vínculo familiar;30.0
49;SO;Cônjuge;5.0
50;SO;Filho até 6 anos;0.0
51;SO;Filho de 7 a 10 anos;5.0
52;SO;Filho de 11 a 23 anos;5.0
53;SO;Filho acima de 23 anos;24.0
54;SO;Sem vínculo familiar;24.0
55;ST;Cônjuge;5.0
56;ST;Filho até 6 anos;0.0
57;ST;Filho de 7 a 10 anos;5.0
58;ST;Filho de 11 a 23 anos;5.0
59;ST;Filho acima de 23 anos;24.0
60;ST;Sem vínculo familiar;24.0
61;1º SGT;Cônjuge;5.0
62;1º SGT;Filho até 6 anos;0.0
63;1º SGT;Filho de 7 a 10 anos;5.0
64;1º SGT;Filho de 11 a 23 anos;5.0
65;1º SGT;Filho acima de 23 anos;24.0
66;1º SGT;Sem vínculo familiar;24.0
67;2º SGT;Cônjuge;5.0
68;2º SGT;Filho até 6 anos;0.0
69;2º SGT;Filho de 7 a 10 anos;5.0
70;2º SGT;Filho de 11 a 23 anos;5.0
71;2º SGT;Filho acima de 23 anos;24.0
72;2º SGT;Sem vínculo familiar;24.0
73;3º SGT;Cônjuge;5.0
74;3º SGT;Filho até 6 anos;0.0
75;3º SGT;Filho de 7 a 10 anos;5.0
76;3º SGT;Filho de 11 a 23 anos;5.0
77;3º SGT;Filho acima de 23 anos;24.0
78;3º SGT;Sem vínculo familiar;24.0
79;CIVIL;Cônjuge;8.9
80;CIVIL;Filho até 6 anos;0.0
81;CIVIL;Filho de 7 a 10 anos;8.9
82;CIVIL;Filho de 11 a 23 anos;8.9
83;CIVIL;Filho acima de 23 anos;44.5
84;CIVIL;Sem vínculo familiar;44.5
