ID;STATUS;GRADUACAO;VALOR
1;CIVIL;CIVIL;89
2;MILITAR DA ATIVA;GEN;85
3;MILITAR DA ATIVA;CEL;70
4;MILITAR DA ATIVA;TC;70
5;MILITAR DA ATIVA;MAJ;70
6;MILITAR DA ATIVA;CAP;60
7;MILITAR DA ATIVA;1º TEN;60
8;MILITAR DA ATIVA;2º TEN;60
9;MILITAR DA ATIVA;ASP;60
10;MILITAR DA ATIVA;SO;48
11;MILITAR DA ATIVA;ST;48
12;MILITAR DA ATIVA;1º SGT;48
13;MILITAR DA ATIVA;2º SGT;48
14;MILITAR DA ATIVA;3º SGT;48
15;MILITAR DA RESERVA;GEN;85
16;MILITAR DA RESERVA;CEL;70
17;MILITAR DA RESERVA;TC;70
18;MILITAR DA RESERVA;MAJ;70
19;MILITAR DA RESERVA;CAP;60
20;MILITAR DA RESERVA;1º TEN;60
21;MILITAR DA RESERVA;2º TEN;60
22;MILITAR DA RESERVA;ASP;60
23;MILITAR DA RESERVA;SO;48
24;MILITAR DA RESERVA;ST;48
25;MILITAR DA RESERVA;1º SGT;48
26;MILITAR DA RESERVA;2º SGT;48
27;MILITAR DA RESERVA;3º SGT;48
28;DEP DESACOMPANHADO;GEN;85
29;DEP DESACOMPANHADO;CEL;70
30;DEP DESACOMPANHADO;TC;70
31;DEP DESACOMPANHADO;MAJ;70
32;DEP DESACOMPANHADO;CAP;60
33;DEP DESACOMPANHADO;1º TEN;60
34;DEP DESACOMPANHADO;2º TEN;60
35;DEP DESACOMPANHADO;ASP;60
36;DEP DESACOMPANHADO;SO;48
37;DEP DESACOMPANHADO;ST;48
38;DEP DESACOMPANHADO;1º SGT;48
39;DEP DESACOMPANHADO;2º SGT;48
40;DEP DESACOMPANHADO;3º SGT;48
41;PENSIONISTA;GEN;85
42;PENSIONISTA;CEL;70
43;PENSIONISTA;TC;70
44;PENSIONISTA;MAJ;70
45;PENSIONISTA;CAP;60
46;PENSIONISTA;1º TEN;60
47;PENSIONISTA;2º TEN;60
48;PENSIONISTA;ASP;60
49;PENSIONISTA;SO;48
50;PENSIONISTA;ST;48
51;PENSIONISTA;1º SGT;48
52;PENSIONISTA;2º SGT;48
53;PENSIONISTA;3º SGT;48
54;DEP ACOMPANHADO;3º SGT;85
55;DEP ACOMPANHADO;CEL;70
56;DEP ACOMPANHADO;TC;70
57;DEP ACOMPANHADO;MAJ;70
58;DEP ACOMPANHADO;CAP;60
59;DEP ACOMPANHADO;1º TEN;60
60;DEP ACOMPANHADO;2º TEN;60
61;DEP ACOMPANHADO;ASP;60
62;DEP ACOMPANHADO;SO;48
63;DEP ACOMPANHADO;ST;48
64;DEP ACOMPANHADO;1º SGT;48
65;DEP ACOMPANHADO;2º SGT;48
66;DEP ACOMPANHADO;3º SGT;48
